Sr. No.,State,Type,Hospital,Latitude,Longitude
264,Maharashtra,TrueNat,"Ruby Hall Clinic, Dept of Laboratory, Grant Medical Foundation, 40, Sassoon Road, Pune",18.52143,73.85445
265,Madhya Pradesh,RT-PCR,"All India Institute of Medical Sciences, Bhopal",23.25849,77.40199
266,Madhya Pradesh,RT-PCR,"National Institute for Research on Tribal Health, Jabalpur",23.16089,79.94977
267,Madhya Pradesh,RT-PCR,"Mahatma Gandhi Memorial Medical College, Indore",22.72036,75.8682
268,Madhya Pradesh,RT-PCR,"Gandhi Medical College, Bhopal",23.25849,77.40199
269,Madhya Pradesh,RT-PCR,"Bhopal Memorial Hospital & research Centre, Bhopal",23.25849,77.40199
270,Madhya Pradesh,RT-PCR,"Gajra Raja Medical College, Gwalior",26.20372,78.15736
271,Madhya Pradesh,RT-PCR,"Qualilife Diagnostics, Balaji Arcade, 1st Floor, 544/A, Netaji Subhash Road, Mulund (W), Mumbai",18.93877,72.83534
272,Madhya Pradesh,RT-PCR,"Chirayu Medical College & Hospital, Bhopal Indore Highway, Bhaisakhedi, Bhopal 81. #Central Research Lab, R D Gardi Medical College, Surasa, Ujjain",23.1746,75.78514
273,Madhya Pradesh,RT-PCR,"Central Research Lab, R D Gardi Medical College, Surasa, Ujjain",23.1746,75.78514
274,Madhya Pradesh,RT-PCR,"Central Lab, MZ 117-118, Yeshwant Plaza, Indore",22.72036,75.8682
275,Madhya Pradesh,RT-PCR,"Lab Medicine, Bansal Hospital, A unit of Ayushman Medical Diagnostics Pvt Ltd, C-sector Shahpura, Bhopal",23.25849,77.40199
276,Madhya Pradesh,RT-PCR,"SS Medical College, Rewa",24.75927,81.655
277,Madhya Pradesh,RT-PCR,"Defence Research & Development Organization, Gwalior",26.20372,78.15736
278,Madhya Pradesh,RT-PCR,"ICAR-NIHSAD, Bhopal",23.25849,77.40199
279,Madhya Pradesh,RT-PCR,"Government Medical College, Ratlam",23.50196,74.95285
280,Madhya Pradesh,RT-PCR,"Netaji Subhash Chandra Bose Medical College, Jabalpur",23.16089,79.94977
281,Madhya Pradesh,TrueNat,"Sampurna Sodani Diagnostic Clinic, LG-1, Morya Centre, 16/1, Race Course Road, Indore",22.72036,75.8682
282,Manipur,RT-PCR,"Jawaharlal Nehru Institute of Med. Sciences, Imphal-East, Manipur",24.72088,93.92294
283,Manipur,RT-PCR,"Regional Institute of Medical Sciences, Imphal",24.80061,93.937
284,Meghalaya,RT-PCR,"North Eastern Indira Gandhi Regional Institute of Health & Medical Sciences, Shillong, Meghalaya",25.53794,91.29991
285,Meghalaya,RT-PCR,"Pasteur Institute, Shillong",25.57604,91.88253
286,Meghalaya,RT-PCR,"Civil Hospital, Tura",25.5141,90.2032
287,Mizoram,RT-PCR,Zoram Medical College,23.62422,92.72816
288,Nagaland,RT-PCR,"Imkongliba Memorial District Hospital, Mokokchung",26.47959,94.51053
289,Nagaland,RT-PCR,"District Hospital, Mon",26.8038,94.9767
290,Nagaland,RT-PCR,"Dept of Lab Services, Apollo Hospitals, Bhubaneswar",20.26029,85.83945
291,Odisha,RT-PCR,"Regional Medical Research Centre, Bhubaneshwar (High-throughput Laboratory)",20.26029,85.83945
292,Odisha,RT-PCR,"All India Institute of Medical Sciences, Bhubaneshwar",20.26029,85.83945
293,Odisha,RT-PCR,"SCB Medical College and Hospital, Cuttack",20.4686,85.8792
294,Odisha,RT-PCR,"MKCG Medical College, Berhampur",21.49309,86.63273
295,Odisha,RT-PCR,"Ispat General Hospital, Rourkela",22.23093,84.86787
296,Odisha,RT-PCR,"Veer Surendra Sai institute of Medical Science & Research, Sambalpur",21.4,83.88333
297,Odisha,RT-PCR,"Institute of Life Sciences, Bhubaneshwar",20.26029,85.83945
298,Puducherry,RT-PCR,"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry",11.93406,79.83064
299,Puducherry,RT-PCR,"Indira Gandhi Medical College, Puducherry",11.93406,79.83064
300,Punjab,RT-PCR,"Govt. Medical College, Amritsar",31.63431,74.87368
301,Punjab,RT-PCR,"Tuli Diagnostic Centre, Majitha Road, Amritsar",31.63431,74.87368
302,Punjab,RT-PCR,"Govt. Medical College, Patiala",30.20909,76.33987
303,Punjab,RT-PCR,"Guru Gobind Singh Medical University, Faridkot",30.60093,74.79477
304,Punjab,CB-NAAT,"Department of Microbiology, Dayanand Medical College & Hospital, Tagore Nagar, Civil Lines, Ludhiana",30.90902,75.8516
305,Punjab,CB-NAAT,"IRL, Patiala",30.20909,76.33987
306,Uttarakhand,RT-PCR,"Govt. Medical College, Haldwani",29.21516,79.52669
307,Uttarakhand,RT-PCR,"Dr. Ahuja?s Pathology and Imaging Centre, 7-B, Astley Hall, Dehradun",30.32556,78.04368
308,Uttarakhand,RT-PCR,"All India Institute of Medical Sciences, Rishikesh",30.10865,78.29162
309,Uttarakhand,RT-PCR,"Doon Medical College, Dehradun",30.32556,78.04368
310,Uttarakhand,RT-PCR,"Veer Chandra Singh Garhwali Govt. Institute of Medical Science & Research, Srinagar,Garhwal Pauri",30.14799,78.77595
311,West Bengal,RT-PCR,"Institute of Post Graduate Medical Education & Research, Kolkata",22.54541,88.35678
312,West Bengal,RT-PCR,"Medical College, Kolkata",22.54541,88.35678
313,West Bengal,RT-PCR,"National Institute of Cholera & Enteric Diseases, Kolkata",22.54541,88.35678
314,West Bengal,RT-PCR,"Midnapore Medical College, Midnapore",22.4672,87.17501
315,West Bengal,RT-PCR,"North Bengal Medical College, Darjeeling",26.8349,88.30715
316,West Bengal,RT-PCR,"Suraksha Diagnostic Pvt Ltd (Dept of Lab Services),12/1, Premises No 02/0327, DG Block (Newtown),Action Area 1D, Newtown, Kolkata",22.54541,88.35678
317,West Bengal,RT-PCR,"Dr. Lal Pathlabs Ltd ? Kolkata Reference lab, Plot No CB-31/1, Premises No 031-0199, Street Action Area 1C, Newtown, Kolkata",22.54541,88.35678
318,West Bengal,RT-PCR,"Apollo Gleneagles Hospitals, 58 Canal Circular Road, Kolkata",22.54541,88.35678
319,West Bengal,RT-PCR,"Tata Medical Center, Rajarhat, Kolkata",22.54541,88.35678
320,West Bengal,RT-PCR,"School of Tropical Medicine, Kolkata",22.54541,88.35678
321,West Bengal,RT-PCR,"Malda Medical College & Hospital, Malda",25.00574,88.13985
322,West Bengal,RT-PCR,"Command Hospital, Kolkata",22.54541,88.35678
323,West Bengal,RT-PCR,"Chittaranjan National Cancer Institute, Kolkata",22.54541,88.35678
324,West Bengal,RT-PCR,"R.G. Kar Medical College & Hospital, Kolkata
Murshidabad Medical College, Behrampore,
Murshidabad",24.1746,88.27213
325,West Bengal,CB-NAAT,"Burdwan Medical College, Burdwan",23.24809,87.97391
326,West Bengal,CB-NAAT,"AMRI Hospitals, Dept of Lab Medicine, JC 16-17, Sector III, Salt Lake City, Kolkata",22.54541,88.35678
327,West Bengal,CB-NAAT,"The Calcutta Medical Research Institute (Dept of Pathology), 7/2 Diamond Harbour Raod, Kolkata",22.54541,88.35678
328,West Bengal,CB-NAAT,"Laboratory Services, Peerless Hospitex Hospital & Research Centre, 360, Panchasayar, Kolkata",22.54541,88.35678
329,Andaman & Nicobar Islands,RT-PCR,"Regional Medical Research Centre, Port Blair",11.66453,92.73904
330,Andaman & Nicobar Islands,TrueNat,"A&N Islands Institute of Medical Sciences, Port Blair",11.66453,92.73904
331,Andaman & Nicobar Islands,CB NAAT,"GB Pant Hospital, Port Blair",11.66453,92.73904
332,Dadra & Nagar Haveli,RT-PCR,"Shri Vinoba Bhave Civil Hospital, Silvassa",20.27368,73.00458
333,Sikkim,TrueNAT,"IRL, STNM Hospital, Gangtok",27.32905,88.61227
334,Uttar Pradesh,RT-PCR,"King George Medical University, Lucknow",26.8381,80.9346
335,Uttar Pradesh,RT-PCR,"Institute of Medical Sciences, Banaras Hindu University, Varanasi",25.33565,83.00763
336,Uttar Pradesh,RT-PCR,"Jawaharlal Nehru Medical College, Aligarh",27.87699,78.13729
337,Uttar Pradesh,RT-PCR,"Command Hospital, Lucknow",26.8381,80.9346
338,Uttar Pradesh,RT-PCR,"Lala Lajpat Rai Memorial Medical College, Meerut",28.91667,77.68333
339,Uttar Pradesh,RT-PCR,"Sanjay Gandhi Post Graduate Institute, Lucknow",26.8381,80.9346
340,Uttar Pradesh,RT-PCR,"MLN Medical College, Allahabad",25.43813,81.8338
341,Uttar Pradesh,RT-PCR,"Uttar Pradesh University of Medical Sciences (Formerly Uttar Pradesh RIMS), Saifai",26.91733,79.02484
342,Uttar Pradesh,RT-PCR,"MLB Medical College, Jhansi",25.53103,78.65269
343,Uttar Pradesh,RT-PCR,"Regional Medical Research Centre, Gorakhpur",26.67133,83.36458
344,Uttar Pradesh,RT-PCR,"SN Medical College, Agra",27.17526,78.00982
345,Uttar Pradesh,RT-PCR,"National JALMA Institute for Leprosy & Other Mycobacterial Diseases, Agra",27.17526,78.00982
346,Uttar Pradesh,RT-PCR,"RML Mehrotra Pathology Pvt Ltd, Nirala Nagar, Lucknow",26.8381,80.9346
347,Uttar Pradesh,RT-PCR,"Dept of Lab Medicine, Jaypee Hospital, Sector 128, Noida",28.57264,77.35476
348,Uttar Pradesh,RT-PCR,"Central Lab, Sharda Hospital, Plot no 32,34, Knowledge Park-III, Greater Noida",28.46707,77.51376
349,Uttar Pradesh,RT-PCR,"RML Hospital, Lucknow",26.8381,80.9346
350,Uttar Pradesh,RT-PCR,"Govt. Institute of Medical Sciences, Noida",28.57264,77.35476
351,Uttar Pradesh,RT-PCR,"GSVM Medical College, Kanpur",26.46091,80.32176
352,Uttar Pradesh,RT-PCR,"National Institute of Biologicals, Noida (High- throughput Laboratory)",28.57264,77.35476
353,Uttar Pradesh,RT-PCR,"BRD Medical College, Gorakhpur",26.67133,83.36458
354,Uttar Pradesh,RT-PCR,"Indian Institute of Toxicology Research, Lucknow",26.8381,80.9346
355,Uttar Pradesh,RT-PCR,"Birbal Sahni Institute of Palaeosciences, Lucknow",26.8381,80.9346
356,Uttar Pradesh,RT-PCR,"Central Drug Research Institute, Lucknow",26.8381,80.9346
357,Uttar Pradesh,RT-PCR,"ICAR- Indian Veterinary Research Institute (IVRI), Izatnagar",28.3889,79.42107
358,Uttar Pradesh,RT-PCR,"Super specialty PediatricHospital and Postgraduate Teaching Institute (SSPHPGTI), Noida",28.57264,77.35476
359,Tripura,RT-PCR,"Government Medical College, Agartala",23.83124,91.28238
360,Telangana,RT-PCR,"Gandhi Medical College, Secunderabad",17.46909,78.50592
361,Telangana,RT-PCR,"Osmania Medical College, Hyderabad",17.38879,78.46106
362,Telangana,RT-PCR,"Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad.",17.38879,78.46106
363,Telangana,RT-PCR,"Nizam?s Institute of Medical Sciences, Hyderabad",17.38879,78.46106
364,Telangana,RT-PCR,"Institute of Preventive Medicine, Hyderabad",17.38879,78.46106
365,Telangana,RT-PCR,"ESIC Medical College, Hyderabad",17.38879,78.46106
366,Telangana,RT-PCR,"Kakatiya Medical College, Warangal",17.98061,79.59821
367,Telangana,RT-PCR,"Centre for Cellular & Molecular Biology, Hyderabad",17.38879,78.46106
368,Telangana,RT-PCR,"Centre for DNA Fingerprinting & Diagnostics, Hyderabad",17.38879,78.46106
369,Telangana,RT-PCR,"Biognosys Technologies (India) Pvt Ltd, #8- 148/174/11, NRI Colony, Near Aleap Industrial Area, Medchal, Malkajgiri",17.44834,78.52897
370,Telangana,RT-PCR,"Laboratory Services, Apollo Hospitals, 6th Floor, Health Street Building, Jubilee Hills, Hyderabad",17.38879,78.46106
371,Telangana,RT-PCR,"Vijaya Diagnostic Centre Pvt Ltd, Street No 19, Himayath Nagar, Hyderabad",17.38879,78.46106
372,Telangana,RT-PCR,"Vimta Labs Ltd, Plot No 142, Phase 2, IDA Cherlapally, Hyderabad",17.38879,78.46106
373,Telangana,RT-PCR,"Apollo Health and Lifestyle Limited, Diagnostic Labortory, Bowenpally, Secunderabad",17.46909,78.50592
374,Telangana,RT-PCR,"Dr. Remedies Labs Private Ltd, A3, Titus Plaza, Sharma Commercial Complex, Punjagutta, Hyderabad",17.38879,78.46106
375,Telangana,RT-PCR,"Pathcare Labs Pvt Ltd, Medchal, Hyderabad",17.38879,78.46106
376,Telangana,RT-PCR,"American Institute of Pathology And Lab Sciences Pvt Ltd, Citizens Hospital, Serilingampally, Hyderabad",17.38879,78.46106
377,Telangana,RT-PCR,"Medcis Pathlabs India Pvt Ltd, Plot No 16 & 17, Swathi Plaza, Anand Nagar, New Bowenpally, Secunderabad",17.46909,78.50592
378,Telangana,RT-PCR,"Department of Lab Medicine, Yashoda Hospital, 9th Floor, 1-1-156 & 157, Alexander Road, Secunderabad",17.46909,78.50592
379,Telangana,RT-PCR,"Tenet Diagnostics, Plot No 51, Kineta Towers, Journalist Colony, Road No 3, Banjara Hills, Hyderabad",17.38879,78.46106
380,Rajasthan,RT-PCR,"Sawai Man Singh Medical College, Jaipur",26.91619,75.82035
381,Rajasthan,RT-PCR,"Rajasthan University of Health Sciences Medical College, Jaipur",26.91619,75.82035
382,Rajasthan,RT-PCR,"Dr. Sampurnan and Medical College, Jodhpur",26.29677,73.03514
383,Rajasthan,RT-PCR,"Central Lab, The Mahatma Gandhi University of Medical Sciences and Technology, RIICO Institution Area, Sitapura, Tonk Road, Jaipur",26.91619,75.82035
384,Rajasthan,RT-PCR,"Dr. B Lal Clinical Lab Pvt Ltd, 6-E, Malviya Industrial Area, Malviya Nagar, Jaipur",26.91619,75.82035
385,Rajasthan,RT-PCR,"Brig T.K. Narayanan Dept of Pathology, Santokaba Durlabhji Memorial Hospital Cum Medical Research Institute, Jaipur (TruNat and RTPCR)",26.91619,75.82035
386,Rajasthan,RT-PCR,"Jhalawar Medical College, Jhalawar",24.31324,76.52224
387,Rajasthan,RT-PCR,"RNT Medical College, Udaipur",24.57872,73.68626
388,Rajasthan,RT-PCR,"SP Medical College, Bikaner",28.01593,73.31714
389,Rajasthan,RT-PCR,"All India Institute of Medical Sciences, Jodhpur",26.29677,73.03514
390,Rajasthan,RT-PCR,"JLN Medical College, Ajmer",26.4691,74.639
391,Rajasthan,RT-PCR,"Govt. Medical College, Kota",25.19683,76.00089
392,Rajasthan,RT-PCR,"National Institute for Implementation Research on Non-Communicable Diseases, Jodhpur",26.29677,73.03514
393,Rajasthan,RT-PCR,"RVRS Govt. Medical College, Bhilwara",25.48877,74.69961
394,Rajasthan,RT-PCR,"Government Medical College, Dungarpur",23.66667,73.75
395,Rajasthan,RT-PCR,"Pandit Deendayal Upadhyaya Medical College, Churu",28.20614,74.69191
396,Rajasthan,RT-PCR,"Government Medical College, Bharatpur",27.26521,77.36913
397,Rajasthan,RT-PCR,"Government Medical College, Sikar",27.66283,75.02793
398,Rajasthan,RT-PCR,"Government Medical College, Barmer",25.5819,71.61966
399,Rajasthan,RT-PCR,"Government Medical College, Pali",25.60409,73.41561
400,Tamil Nadu,RT-PCR,"King Institute of Preventive Medicine & Research, Chennai",13.08017,80.28383
401,Tamil Nadu,RT-PCR,"Madras Medical College, Chennai",13.08017,80.28383
402,Tamil Nadu,RT-PCR,"Stanley Medical College, Chennai",13.08017,80.28383
403,Tamil Nadu,RT-PCR,"Govt. Kilpauk Medical College, Chennai",13.08017,80.28383
404,Tamil Nadu,RT-PCR,"National Institute for Research in Tuberculosis, Chennai",13.08017,80.28383
405,Tamil Nadu,RT-PCR,"State Public Health Laboratory, Chennai",13.08017,80.28383
406,Tamil Nadu,RT-PCR,"National Institute of Epidemiology, Chennai",13.08017,80.28383
407,Tamil Nadu,RT-PCR,"Dr. MGR Medical University, Chennai",13.08017,80.28383
408,Tamil Nadu,RT-PCR,"Dr. ALM PG Institute of Basic Medical Sciences, Chennai",13.08017,80.28383
409,Tamil Nadu,RT-PCR,"Govt. Medical College & Hospital, Omandurar Govt. Estate, Chennai",13.08017,80.28383
410,Tamil Nadu,RT-PCR,"Govt. Theni Medical College, Theni",9.969664,77.4742
411,Tamil Nadu,RT-PCR,"Tirunelveli Medical College, Tirunelveli",8.808234,77.81148
412,Tamil Nadu,RT-PCR,"Govt. Medical College, Thiruvarur",10.73619,79.63319
413,Tamil Nadu,RT-PCR,"Kumar Mangalam Govt. Medical College, Salem",44.93916,-123.033
414,Tamil Nadu,RT-PCR,"Coimbatore Medical College, Coimbatore",11.00181,76.96284
415,Tamil Nadu,RT-PCR,"Govt. Medical College & ESIC Hospital, Coimbatore",11.00181,76.96284
416,Tamil Nadu,RT-PCR,"Govt. Medical College, Villupuram",11.93983,79.49456
417,Tamil Nadu,RT-PCR,"Dept. of Clinical Virology, CMC, Vellore",12.79481,79.00064
418,Tamil Nadu,RT-PCR,"Department of Laboratory Services, Apollo Hospitals Enterprise Ltd, Chennai",13.08017,80.28383
419,Tamil Nadu,RT-PCR,"Neuberg Ehrlich Lab Pvt Ltd, 46-48 Masilamani Road, Balaji Nagar, Chennai",13.08017,80.28383
420,Tamil Nadu,RT-PCR,"Sri Ramachandra Medical College & Research Institute, Porur, Chennai",13.08017,80.28383
421,Tamil Nadu,RT-PCR,"Microbiology Lab, Veerakeralam Road, Coimbatore",11.00181,76.96284
422,Tamil Nadu,RT-PCR,"YRG CARE, Taramani, Chennai",13.08017,80.28383
423,Tamil Nadu,RT-PCR,"Hitech Diagnostic Centre- A Unit of Dr. Ganesan?s Hitech Diagnostic Centre PVt Ltd, Poonamallee High Road, Chennai",13.08017,80.28383
424,Tamil Nadu,RT-PCR,"PSG Hospitals Diagnostic Centre, Avinashi Road, Peelamedu, Coimbatore",11.00181,76.96284
425,Tamil Nadu,RT-PCR,"Medall Healthcare Pvt Ltd, 17, Race View Colony, 2nd street, Race Course Road, Guindy, Chennai",13.08017,80.28383
426,Tamil Nadu,RT-PCR,"Meenakshi Labs Madurai A unit of Sunmed Healthcare Pvt Ltd, 2nd Floor, Meenakshi Mission Hospital and Research Centre, Madurai",9.926115,78.1141
427,Tamil Nadu,RT-PCR,"Metropolis Healthcare Limited, No 3, Jaganathan Road, Nungambakkam, Chennai",13.08017,80.28383
428,Tamil Nadu,RT-PCR,"Clinical Lab Services, Dr. Rela Institute & Medical Centre, #7, CLC Works Rd, Shankar Nagar, Chennai",13.08017,80.28383
429,Tamil Nadu,RT-PCR,"Doctors? Diagnostic Centre, 123/1, Puthur High Road, Thiruchirapalli",10.76209,78.71277
430,Tamil Nadu,RT-PCR,"Molecular Testing, Institute of Lab Medicine, Kovai Medical Center & Hospital, 99, Avinashi Road, Coimbatore",11.00181,76.96284
431,Tamil Nadu,RT-PCR,"Madurai Medical College, Madurai",9.926115,78.1141
432,Tamil Nadu,RT-PCR,"K A P Viswanatham Govt. Medical College, Trichy",10.80497,78.68703
433,Tamil Nadu,RT-PCR,"Perundurai Medical College, Perundurai",11.2591,77.54606
434,Tamil Nadu,RT-PCR,"Govt. Dharmapuri Medical College, Dharmapuri",12.0968,78.19304
435,Tamil Nadu,RT-PCR,"Govt. Medical College, Vellore",12.79481,79.00064
436,Tamil Nadu,RT-PCR,"Thanjavur Medical College, Thanjavur",10.78603,79.13815
437,Tamil Nadu,RT-PCR,"Kanyakumari Govt. Medical College, Nagercoil",8.188047,77.42905
438,Tamil Nadu,RT-PCR,"Govt. Thoothukudi Medical College, Thoothukudi",8.80526,78.14527
439,Tamil Nadu,RT-PCR,"Institute of Vector Control & Zoonoses, Hosur",12.73288,77.83095
440,Tamil Nadu,RT-PCR,"Pasteur Institute of India, Coonoor",11.32233,76.7748
441,Tamil Nadu,RT-PCR,"Rajah Muthiah Medical College, Chidambaram",11.41018,79.67222
442,Tamil Nadu,RT-PCR,"Government Medical College, Karur",10.93015,78.08485
443,Tamil Nadu,RT-PCR,"Govt. Tiruvannamalai Medical College & Hospital, Tiruvannamalai",12.22721,79.07016
444,Tamil Nadu,RT-PCR,"Chengalpattu Government Medical College, Kancheepuram",12.87961,79.70428
445,Tamil Nadu,RT-PCR,"Lal Path Labs, Block -E, Sector 18, Rohini, Delhi",28.65172,77.22194
446,Tamil Nadu,RT-PCR,"Dr Dangs Lab, C-2/1, Safadarjung Development Area, New-Delhi",28.65172,77.22194
447,Tamil Nadu,RT-PCR,"Laboratory Services, Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi",28.65172,77.22194
448,Tamil Nadu,RT-PCR,"Max Lab, Max Super Spciality Hospital, Saket, New- Delhi",28.65172,77.22194
449,Tamil Nadu,RT-PCR,"Sir Ganga Ram Hospital Clinical Lab Services, Sir Ganga Ram Hospital, Delhi",28.65172,77.22194
450,Tamil Nadu,RT-PCR,"Oncquest Labs Ltd, 3-Factory Road, New-Delhi",28.65172,77.22194
451,Tamil Nadu,RT-PCR,"Prognosis Laboratories, 515-16, Sector 19, Dwarka",28.65172,77.22194
452,Tamil Nadu,RT-PCR,"City X-Ray & Scan Clinic Pvt Ltd, 4B/18, Tilak Nagar, New-Delhi",28.65172,77.22194
453,Tamil Nadu,RT-PCR,"Lifeline Laboratory, H-11, Green Park Extension, New- Delhi",28.65172,77.22194
454,Tamil Nadu,RT-PCR,"Dept of Lab Services, Dr. B.L. Kapur Memorial Hospital, 5, Pusa Road, New-Delhi",28.65172,77.22194
455,Tamil Nadu,RT-PCR,"Dept of Laboratory Services, Action Cancer Hospital, A-4, Paschim Vihar (East), New-Delhi",28.65172,77.22194
456,Tamil Nadu,RT-PCR,"Star Imaging & Path Lab Pvt Ltd, 4B/4, Tilak Nagar, New Delhi",28.65172,77.22194
457,Tamil Nadu,RT-PCR,"Genestrings Diagnostic Centre Pvt Ltd, 3, MMTC, Geetanjali Enclave, New Delhi",28.65172,77.22194
458,Tamil Nadu,RT-PCR,"Sterling Accuris Diagnostics, A divison of Sterling Accuris Wellness Pvt Ltd, C-65, Block C, Phase I, Okhla, New Delhi",28.65172,77.22194
